央视频道,#genre#
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226194/1.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226206/1.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225799/1.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226211/1.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226200/1.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226201/1.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226210/1.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226209/1.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225801/1.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226205/1.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/1.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225798/1.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226199/1.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202/1.m3u8
4K频道,#genre#
欢笑剧场4K,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226582/1.m3u8
其他频道,#genre#
茶频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226808/1.m3u8
城固,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226920/1.m3u8
第1财经,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226966/1.m3u8
都市剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226581/1.m3u8
公共频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225990/1.m3u8
公共频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226384/1.m3u8
公共频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227001/1.m3u8
纪实科教,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226232/1.m3u8
纪实人文,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
教育频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225991/1.m3u8
金鹰纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226351/1.m3u8
精彩综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226009/1.m3u8
乐游,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226580/1.m3u8
宁陕电视台,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226998/1.m3u8
千阳,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226945/1.m3u8
商洛综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226378/1.m3u8
吴起电视台,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226967/1.m3u8
西乡融媒,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226556/1.m3u8
新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226376/1.m3u8
洋县电视台,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226938/1.m3u8
游戏风云,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226579/1.m3u8
资阳综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8
综合频道,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226383/1.m3u8
